L1,L2,L2,L4,L5,Description,IGNORE,Core/Surround,IGNORE,Retail,Small Business,Commercial
Account Management,Administer Accounts,Enact a status on accounts,,,,,Core,,Yes,Yes,Yes
Account Management,Administer Accounts,Enact a status on transactions,,,,,Core,,No,Yes,Yes
Account Management,Administer Accounts,Link overdraft protection,,,,,Core,,No,No,Yes
Account Management,Capital One Legal Entity,Assign DDA Account to Legal Entity,,,,,Core,,Yes,Yes,Yes
Account Management,Capital One Legal Entity,Assign Loan Account to Legal Entity,Assign Loan Account to CONA,,,,Core,,Yes,Yes,Yes
Account Management,Capital One Legal Entity,Assign Loan Account to Legal Entity,Assign Loan Account to COBNA,,,,Core,,Yes,Yes,Yes
Account Servicing,Perform Year End Processing,,,,,,Core,,Yes,No,Yes
Account Servicing,Calculate Balances,Aggregate available balance within customer,,,,,Core,,No,Yes,Yes
Account Servicing,Calculate Balances,Assign funds availability policy to accounts,,,,,Core,,Yes,Yes,Yes
Account Servicing,Calculate Balances,Maintain daily balances,,,,,Core,,No,Yes,No
Account Management,Administer Accounts,Enact a status on accounts,,,,,Surround,,Yes,Yes,Yes
Account Management,Administer Accounts,Enact a status on transactions,,,,,Surround,,No,Yes,Yes
Account Management,Administer Accounts,Link overdraft protection,,,,,Surround,,No,No,Yes
Account Management,Capital One Legal Entity,Assign DDA Account to Legal Entity,,,,,Surround,,Yes,No,No
Account Management,Capital One Legal Entity,Assign Loan Account to Legal Entity,,,,,Surround,,No,Yes,No
Account Servicing,Perform Year End Processing,,,,,,Surround,,Yes,No,Yes
Account Servicing,Calculate Balances,Aggregate available balance within customer,,,,,Surround,,No,Yes,Yes
Account Servicing,Calculate Balances,Assign funds availability policy to accounts,,,,,Surround,,Yes,No,No
Account Servicing,Calculate Balances,Maintain daily balances,,,,,Surround,,Yes,Yes,Yes
