Col_1,Col_2,Col_3,Col_4,Value,Core/Surround,Retail,Small Business,Commercial
Account Management,Administer Accounts,Enact a status on accounts,,,Core,Yes,Yes,Yes
Account Management,Administer Accounts,Enact a status on transactions,,,Core,No,Yes,Yes
Account Management,Administer Accounts,Link overdraft protection,,,Core,No,No,Yes
Account Management,Capital One Legal Entity,Assign DDA Account to Legal Entity,,,Core,Yes,Yes,Yes
Account Management,Capital One Legal Entity,Assign Loan Account to Legal Entity,Assign Loan Account to COBNA,,Core,Yes,Yes,Yes
Account Management,Capital One Legal Entity,Assign Loan Account to Legal Entity,Assign Loan Account to CONA,,Core,Yes,Yes,Yes
Account Servicing,Perform Year End Processing,,,,Core,Yes,No,Yes
Account Servicing,Calculate Balances,Aggregate available balance within customer,,,Core,No,Yes,Yes
Account Servicing,Calculate Balances,Assign funds availability policy to accounts,,,Core,Yes,Yes,Yes
Account Servicing,Calculate Balances,Maintain daily balances,,,Core,Yes,Yes,Yes
Account Management,Administer Accounts,Enact a status on accounts,,,Surround,Yes,Yes,Yes
Account Management,Administer Accounts,Enact a status on transactions,,,Surround,No,Yes,Yes
Account Management,Administer Accounts,Link overdraft protection,,,Surround,No,No,Yes
Account Management,Capital One Legal Entity,Assign DDA Account to Legal Entity,,,Surround,Yes,Yes,Yes
Account Management,Capital One Legal Entity,Assign Loan Account to Legal Entity,,,Surround,Yes,Yes,Yes
Account Servicing,Perform Year End Processing,,,,Surround,Yes,No,Yes
Account Servicing,Calculate Balances,Aggregate available balance within customer,,,Surround,No,Yes,Yes
Account Servicing,Calculate Balances,Assign funds availability policy to accounts,,,Surround,Yes,Yes,Yes
Account Servicing,Calculate Balances,Maintain daily balances,,,Surround,Yes,Yes,Yes
